modulo_codigo,modulo,submodulo_codigo,submodulo,ordem_funcao,funcao
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,1,"Criar o pedido internacional e suas linhas por SKU, quantidade, preço, moeda e Incoterm."
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,2,"Vincular fornecedor, exportador, fabricante, proforma e condições de pagamento."
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,3,"Executar workflow de aprovação, envio ao fornecedor, confirmação e alteração controlada."
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,4,"Controlar cronograma de produção, datas prometidas, produção parcial e saldo pendente."
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,5,Registrar versões da proforma e impedir duplicidade do mesmo pedido/documento.
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,6,Importar itens em massa por Excel e reaproveitar o cadastro mestre de SKUs.
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,7,"Exibir status, atrasos, próximas ações, responsáveis e exceções em uma única página."
COMEX,COMEX,SM-COMEX-01,Pedido internacional e produção,8,"Gerar eventos para previsão de caixa, documentos, embarque e auditoria."
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",1,Comparar opções de frete e registrar a escolha do booking.
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",2,Criar um ou vários embarques a partir do mesmo pedido internacional.
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",3,"Controlar contêineres, tipos, lacres, volumes, peso, cubagem e linhas transportadas."
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",4,"Registrar ETD, ETA, porto de origem, transbordos, porto de destino e transportador."
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",5,Gerenciar BL master/house e suas versões.
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",6,"Conferir commercial invoice, packing list, BL e saldos embarcados."
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",7,"Tratar embarques parciais, alteração de navio, rollover, atraso e cancelamento."
COMEX,COMEX,SM-COMEX-02,"Embarque, booking, BL e contêiner",8,"Emitir alertas de chegada, free time, documentos faltantes e divergências."
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,1,"Abrir e controlar despacho aduaneiro por embarque, contêiner e mercadoria."
COMEX,COMEX,SM-COMEX-03,Despacho e regimes aduaneiros,2,"Selecionar e manter separados os regimes de importação definitiva, trânsito, ZPA e Zona Franca."
