id,level,unit_id,module,submodule,pr,capability_code,capability,lens_code,lens,layout_id
M-COMEX-Q0001,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,ESC,escopo estratégico,LAY-02
M-COMEX-Q0002,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,OWN,ownership e governança,LAY-02
M-COMEX-Q0003,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,FLOW,fluxo ponta a ponta,LAY-02
M-COMEX-Q0004,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,DATA,dados e fonte da verdade,LAY-02
M-COMEX-Q0005,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,RULE,regra e parametrização,LAY-02
M-COMEX-Q0006,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,UX,layout e experiência,LAY-02
M-COMEX-Q0007,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,AUTO,automação e tempo,LAY-02
M-COMEX-Q0008,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,CTRL,"controle, risco e auditoria",LAY-02
M-COMEX-Q0009,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,MET,métrica e observabilidade,LAY-02
M-COMEX-Q0010,MODULE,M-COMEX,COMEX,,,OBJ,objetivo e resultado esperado,ACC,aceite e evolução,LAY-02
M-COMEX-Q0011,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,ESC,escopo estratégico,LAY-12
M-COMEX-Q0012,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,OWN,ownership e governança,LAY-12
M-COMEX-Q0013,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,FLOW,fluxo ponta a ponta,LAY-12
M-COMEX-Q0014,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,DATA,dados e fonte da verdade,LAY-12
M-COMEX-Q0015,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,RULE,regra e parametrização,LAY-12
M-COMEX-Q0016,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,UX,layout e experiência,LAY-12
M-COMEX-Q0017,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,AUTO,automação e tempo,LAY-12
M-COMEX-Q0018,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,CTRL,"controle, risco e auditoria",LAY-12
M-COMEX-Q0019,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,MET,métrica e observabilidade,LAY-12
M-COMEX-Q0020,MODULE,M-COMEX,COMEX,,,SCOPE,limites de escopo e exclusões,ACC,aceite e evolução,LAY-12
M-COMEX-Q0021,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,ESC,escopo estratégico,LAY-13
M-COMEX-Q0022,MODULE,M-COMEX,COMEX,,,ACTOR,atores e responsabilidades,OWN,ownership e governança,LAY-13
